"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"1","@nistula @vidyadee Amazon has started delivery of non-essentials also but containment zone... Don't think so!","0","2020-05-08 08:16:57","FALSE","0","2",FALSE
"2","@AmazonHelp As per current status at your site, you can delivered this product to new customers latest by 11th may  ","0","2020-05-08 07:17:40","FALSE","0","0",FALSE
"3","@AmitAgarwal @amazon Dear Sir, I have order this product from Amazon and trying to prepone the delivery to 11th may  ","0","2020-05-08 07:08:52","FALSE","0","0",FALSE
"4","RT @khan60444: @JeffBezos @AmazonHelp @amazonIN Just wanted to tell you I need groceries from Amazon. I have downloaded the app for buying","0","2020-05-07 21:26:19","TRUE","1","0",FALSE
"5","@JeffBezos @AmazonHelp @amazonIN Just wanted to tell you I need groceries from Amazon. I have downloaded the app fo  ","0","2020-05-07 20:40:19","FALSE","1","0",FALSE
"6","@ricky_insomniac @Flipkart @amazon @AmazonHelp He is also fed-up of these ecomms. He had ordered two beer mugs, still awaiting delivery.","0","2020-05-07 11:11:09","FALSE","0","0",FALSE
"7","Amazon India provides special Delivery Services in Containment Zones in Mumbai in collaboration with Brihanmumbai M  ","0","2020-05-07 09:36:35","FALSE","0","0",FALSE
"8","RT @RupakBh53459442: @AmazonIn_In @amazon @AmazonHelp  Hey amazon do you any update about the delivery of ORDER  403-7351862-8964358 ?????","0","2020-05-07 07:14:34","TRUE","1","0",FALSE
"9","Samsung 108 cm (43 Inches) Super 6 Series 4K UHD LED Smart TV UA43NU6100 (Black) (2019 model)

4.2 out of 5 stars 1  ","3","2020-05-07 07:13:42","FALSE","0","0",FALSE
"10","Samsung 108 cm (43 Inches) Full HD LED Smart TV UA43N5300AR (Black) (2018 model)

4.3 out of 5 stars 454

31,9993  ","2","2020-05-07 07:13:42","FALSE","0","0",FALSE
"11","Samsung 125 cm (50 Inches) 4K Ultra HD LED Smart TV UA50NU7090KXXL (Black) (2019 model)

4.2 out of 5 stars 7

45,  ","2","2020-05-07 07:13:40","FALSE","0","0",FALSE
"12","LG 108 cm (43 inches) 4K UHD Smart LED TV 43UM7290PTF (Ceramic Black) (2019 Model)

4.3 out of 5 stars 897

36,490  ","2","2020-05-07 07:13:39","FALSE","0","0",FALSE
"13","LG 126 cm (50 inches) 4K Ultra HD Smart LED TV 50UM7290PTD (Ceramic BK + Dark Steel Silver) (2019 Model)

4.3 out o  ","1","2020-05-07 07:13:38","FALSE","0","0",FALSE
"14","Philips 139 cm (55 inches) 6100 Series 4K LED Smart TV 55PUT6103S/94 (Black)

4.1 out of 5 stars 10

42,99942,999  ","2","2020-05-07 07:13:37","FALSE","0","0",FALSE
"15","Sanyo 139 cm (55 inches) Kaizen Series 4K Ultra HD Smart Certified Android IPS LED TV XT-55A082U (Black) (2019 Mode  ","2","2020-05-07 07:13:35","FALSE","0","0",FALSE
"16","Sony Bravia 80.1 cm (32 inches) Full HD LED Smart TV KLV-32W672G (Black)

4.3 out of 5 stars 146

31,99031,990 3  ","2","2020-05-07 07:13:34","FALSE","0","0",FALSE
"17","TCL 138.78 cm (55 inches) AI 4K UHD Certified Android Smart LED TV 55P8 (Black) (2019 Model)

4.1 out of 5 stars 7  ","2","2020-05-07 07:13:33","FALSE","0","0",FALSE
"18","Samsung 123 cm (49 Inches) Full HD LED Smart TV UA49N5300AR (Black) (2018 model)

4.3 out of 5 stars 454

38,9993  ","2","2020-05-07 07:13:32","FALSE","0","0",FALSE
"19","Samsung 125 cm (50 Inches) Super 6 Series 4K UHD LED Smart TV UA50NU6100 (Black) (2019 model)

4.2 out of 5 stars 1  ","3","2020-05-07 07:13:29","FALSE","0","0",FALSE
"20","LG 108 cm (43 inches) Full HD Smart LED TV 43LM6360PTB (Dark Iron Gray) (2019 Model)

3.9 out of 5 stars 18

33,99  ","1","2020-05-07 07:13:28","FALSE","0","0",FALSE
"21","TCL 125.7 cm (50 inches) 4K Ultra HD Smart Certified Android LED TV 50P8E (Black) (2019 Model)

4.0 out of 5 stars  ","2","2020-05-07 07:13:26","FALSE","0","0",FALSE
"22","Sony Bravia 108 cm (43 inches) Full HD LED Smart TV KLV-43W672G (Black)

4.3 out of 5 stars 146

41,85041,850 57  ","2","2020-05-07 07:13:25","FALSE","0","0",FALSE
"23","Samsung 109 cm (43 Inches) 4K Ultra HD LED Smart TV UA43RU7100KXXL (Black) (2019 model)

4.1 out of 5 stars 17

46  ","2","2020-05-07 07:13:24","FALSE","0","0",FALSE
"24","Panasonic 108 cm (43 inches) 4K Ultra HD LED Smart TV TH-43GX500DX (Black) (2019 Model)

3.2 out of 5 stars 8

35,  ","2","2020-05-07 07:13:23","FALSE","0","0",FALSE
"25","Sony 108 cm (43 Inches) Full HD Certified Android Smart LED TV KDL-43W800F (Black) (2018 model)

4.4 out of 5 stars  ","2","2020-05-07 07:13:21","FALSE","0","0",FALSE
